"","Frag.ID","Timepoint","Date","Treatment","Temperature","T.T","Weight","Temp","Salinity","sw_dens","skel_dens","dry_weight.g"
"185","M-2-6",2,"9/14/2023","I","AMB","I-AMB",9.884,25.7,53.2,1.03694341764527,2.93,15.2980741674278
"186","M-2-7",2,"9/14/2023","I","AMB","I-AMB",8.215,25.7,53.2,1.03694341764527,2.93,12.7148603081161
"187","M-3-1",2,"9/14/2023","C","AMB","C-AMB",9.491,25.9,53.2,1.03687680644896,2.93,14.6892870441452
"188","M-3-10",2,"9/14/2023","I","HEAT","I-HEAT",8.471,25.7,53.1,1.03686704165391,2.93,13.1105582894102
"189","M-3-11",2,"9/14/2023","G","AMB","G-AMB",8.838,26.4,53,1.03655647448617,2.93,13.6763202340417
"190","M-3-12",2,"9/14/2023","G","AMB","G-AMB",8.349,26.4,53,1.03655647448617,2.93,12.9196195557834
"191","M-3-15",2,"9/14/2023","G","HEAT","G-HEAT",8.334,25.9,53.1,1.03680045521341,2.93,12.8980698665616
"192","M-3-16",2,"9/14/2023","E","AMB","E-AMB",8.717,25.7,53.2,1.03694341764527,2.93,13.491836555794
"193","M-3-17",2,"9/14/2023","E","AMB","E-AMB",8.576,25.7,53.2,1.03694341764527,2.93,13.2736021914064
"194","M-3-2",2,"9/14/2023","C","AMB","C-AMB",8.361,25.9,53.2,1.03687680644896,2.93,12.9403781452005
"195","M-3-20",2,"9/14/2023","E","HEAT","E-HEAT",8.259,25.6,53.2,1.03697661752364,2.93,12.7831859997124
"196","M-3-22",2,"9/14/2023","C","HEAT","C-HEAT",9.332,25.8,53.1,1.03683378366202,2.93,14.4428734064831
"197","M-3-23",2,"9/14/2023","I","HEAT","I-HEAT",9.134,25.7,53.1,1.03686704165391,2.93,14.1366827311383
"198","M-3-24",2,"9/14/2023","G","HEAT","G-HEAT",8.65,25.9,53.1,1.03680045521341,2.93,13.3871255514468
"199","M-3-25",2,"9/14/2023","E","HEAT","E-HEAT",8.963,25.6,53.2,1.03697661752364,2.93,13.8728291700475
"200","M-3-5",2,"9/14/2023","C","HEAT","C-HEAT",8.462,25.8,53.1,1.03683378366202,2.93,13.0963989247385
"201","M-3-6",2,"9/14/2023","I","AMB","I-AMB",10.143,25.7,53.2,1.03694341764527,2.93,15.6989443828632
"202","M-3-7",2,"9/14/2023","I","AMB","I-AMB",8.28,25.7,53.2,1.03694341764527,2.93,12.8154648023373
"203","M-4-1",2,"9/14/2023","C","AMB","C-AMB",8.337,25.9,53.2,1.03687680644896,2.93,12.9032331774353
"204","M-4-10",2,"9/14/2023","I","HEAT","I-HEAT",10.049,25.7,53.1,1.03686704165391,2.93,15.5528273226636
"205","M-4-11",2,"9/14/2023","G","AMB","G-AMB",10.077,26.4,53,1.03655647448617,2.93,15.5936047746592
"206","M-4-12",2,"9/14/2023","G","AMB","G-AMB",8.856,26.4,53,1.03655647448617,2.93,13.7041742467383
"207","M-4-15",2,"9/14/2023","G","HEAT","G-HEAT",10.659,25.9,53.1,1.03680045521341,2.93,16.4963434974418
"208","M-4-16",2,"9/14/2023","E","AMB","E-AMB",11.103,25.7,53.2,1.03694341764527,2.93,17.1847953744386
