Date,Time,TANK,LIGHT (PAR)
7/29/2023,1:00,MCAP AMB,0
7/29/2023,1:15,MCAP AMB,0
7/29/2023,1:30,MCAP AMB,0
7/29/2023,1:45,MCAP AMB,0
7/29/2023,2:00,MCAP AMB,0
7/29/2023,2:15,MCAP AMB,0
7/29/2023,2:30,MCAP AMB,0
7/29/2023,2:45,MCAP AMB,0
7/29/2023,3:00,MCAP AMB,0
7/29/2023,3:15,MCAP AMB,0
7/29/2023,3:30,MCAP AMB,0
7/29/2023,3:45,MCAP AMB,0
7/29/2023,4:00,MCAP AMB,0
7/29/2023,4:15,MCAP AMB,0
7/29/2023,4:30,MCAP AMB,0
7/29/2023,4:45,MCAP AMB,0
7/29/2023,5:00,MCAP AMB,0
7/29/2023,5:15,MCAP AMB,0
7/29/2023,5:30,MCAP AMB,0
7/29/2023,5:45,MCAP AMB,0
7/29/2023,6:00,MCAP AMB,0
7/29/2023,6:15,MCAP AMB,0.6
7/29/2023,6:30,MCAP AMB,3.6
7/29/2023,6:45,MCAP AMB,16.3
7/29/2023,7:00,MCAP AMB,19.2
7/29/2023,7:15,MCAP AMB,21.9
7/29/2023,7:30,MCAP AMB,34.1
7/29/2023,7:45,MCAP AMB,65.2
7/29/2023,8:00,MCAP AMB,76.9
7/29/2023,8:15,MCAP AMB,80.5
7/29/2023,8:30,MCAP AMB,66.1
7/29/2023,8:45,MCAP AMB,97.5
7/29/2023,9:00,MCAP AMB,162.7
7/29/2023,9:15,MCAP AMB,114.9
7/29/2023,9:30,MCAP AMB,89.8
7/29/2023,9:45,MCAP AMB,121.8
7/29/2023,10:00,MCAP AMB,284
7/29/2023,10:15,MCAP AMB,378.9
7/29/2023,10:30,MCAP AMB,158.3
7/29/2023,10:45,MCAP AMB,153
7/29/2023,11:00,MCAP AMB,419.7
7/29/2023,11:15,MCAP AMB,340.8
7/29/2023,11:30,MCAP AMB,321.9
7/29/2023,11:45,MCAP AMB,161.5
7/29/2023,12:00,MCAP AMB,148.6
7/29/2023,12:15,MCAP AMB,367.6
7/29/2023,12:30,MCAP AMB,607.8
7/29/2023,12:45,MCAP AMB,370.4
7/29/2023,13:00,MCAP AMB,449.4
7/29/2023,13:15,MCAP AMB,197.1
7/29/2023,13:30,MCAP AMB,92
7/29/2023,13:45,MCAP AMB,146.3
7/29/2023,14:00,MCAP AMB,243.3
7/29/2023,14:15,MCAP AMB,180.6
7/29/2023,14:30,MCAP AMB,107.4
7/29/2023,14:45,MCAP AMB,98
7/29/2023,15:00,MCAP AMB,75.6
7/29/2023,15:15,MCAP AMB,80.9
7/29/2023,15:30,MCAP AMB,44.8
7/29/2023,15:45,MCAP AMB,76
7/29/2023,16:00,MCAP AMB,87.4
7/29/2023,16:15,MCAP AMB,113.8
7/29/2023,16:30,MCAP AMB,122.3
7/29/2023,16:45,MCAP AMB,74.8
7/29/2023,17:00,MCAP AMB,90.3
7/29/2023,17:15,MCAP AMB,47.9
7/29/2023,17:30,MCAP AMB,45.5
7/29/2023,17:45,MCAP AMB,17.3
7/29/2023,18:00,MCAP AMB,23.7
7/29/2023,18:15,MCAP AMB,19.9
7/29/2023,18:30,MCAP AMB,15.9
7/29/2023,18:45,MCAP AMB,9.6
7/29/2023,19:00,MCAP AMB,5.2
7/29/2023,19:15,MCAP AMB,2.1
7/29/2023,19:30,MCAP AMB,0.3
7/29/2023,19:45,MCAP AMB,0
7/29/2023,20:00,MCAP AMB,0
7/29/2023,20:15,MCAP AMB,0
7/29/2023,20:30,MCAP AMB,0
7/29/2023,20:45,MCAP AMB,0
7/29/2023,21:00,MCAP AMB,0
7/29/2023,21:15,MCAP AMB,0
7/29/2023,21:30,MCAP AMB,0
7/29/2023,21:45,MCAP AMB,0
7/29/2023,22:00,MCAP AMB,0
7/29/2023,22:15,MCAP AMB,0
7/29/2023,22:30,MCAP AMB,0
7/29/2023,22:45,MCAP AMB,0
7/29/2023,23:00,MCAP AMB,0
7/29/2023,23:15,MCAP AMB,0
7/29/2023,23:30,MCAP AMB,0
7/29/2023,23:45,MCAP AMB,0
7/29/2023,0:00,MCAP AMB,0
7/30/2023,0:15,MCAP AMB,0
7/30/2023,0:30,MCAP AMB,0
7/30/2023,0:45,MCAP AMB,0
7/30/2023,1:00,MCAP AMB,0
7/30/2023,1:15,MCAP AMB,0
7/30/2023,1:30,MCAP AMB,0
7/30/2023,1:45,MCAP AMB,0
7/30/2023,2:00,MCAP AMB,0
7/30/2023,2:15,MCAP AMB,0
7/30/2023,2:30,MCAP AMB,0
7/30/2023,2:45,MCAP AMB,0
7/30/2023,3:00,MCAP AMB,0
7/30/2023,3:15,MCAP AMB,0
7/30/2023,3:30,MCAP AMB,0
7/30/2023,3:45,MCAP AMB,0
7/30/2023,4:00,MCAP AMB,0
7/30/2023,4:15,MCAP AMB,0
7/30/2023,4:30,MCAP AMB,0
7/30/2023,4:45,MCAP AMB,0
7/30/2023,5:00,MCAP AMB,0
7/30/2023,5:15,MCAP AMB,0
7/30/2023,5:30,MCAP AMB,0
7/30/2023,5:45,MCAP AMB,0
7/30/2023,6:00,MCAP AMB,0.1
7/30/2023,6:15,MCAP AMB,1.6
7/30/2023,6:30,MCAP AMB,6.9
7/30/2023,6:45,MCAP AMB,11.7
7/30/2023,7:00,MCAP AMB,26.8
7/30/2023,7:15,MCAP AMB,40.6
7/30/2023,7:30,MCAP AMB,139.4
7/30/2023,7:45,MCAP AMB,93.5
7/30/2023,8:00,MCAP AMB,48.6
7/30/2023,8:15,MCAP AMB,65.9
7/30/2023,8:30,MCAP AMB,59.1
7/30/2023,8:45,MCAP AMB,139.8
7/30/2023,9:00,MCAP AMB,150.5
7/30/2023,9:15,MCAP AMB,76.2
7/30/2023,9:30,MCAP AMB,105.7
7/30/2023,9:45,MCAP AMB,104.2
7/30/2023,10:00,MCAP AMB,522.9
7/30/2023,10:15,MCAP AMB,401.2
7/30/2023,10:30,MCAP AMB,59.6
7/30/2023,10:45,MCAP AMB,103.1
7/30/2023,11:00,MCAP AMB,511.8
7/30/2023,11:15,MCAP AMB,118.6
7/30/2023,11:30,MCAP AMB,84.5
7/30/2023,11:45,MCAP AMB,102
7/30/2023,12:00,MCAP AMB,141.7
7/30/2023,12:15,MCAP AMB,134.1
7/30/2023,12:30,MCAP AMB,324.3
7/30/2023,12:45,MCAP AMB,425
7/30/2023,13:00,MCAP AMB,603.3
7/30/2023,13:15,MCAP AMB,524
7/30/2023,13:30,MCAP AMB,184.2
